source_fare,time_diff
2550,151075150000000
3664,4730274705000000
3688,1706274404000000
2130,323872055000000
2951,4643871812000000
3497,1015074073000000
3750,3693473886000000
2083,64668081000000
4118,928667437000000
2635,-21729290000000
1478,496664957000000
3097,583064545000000
6053,5162264327000000
3556,9914264266000000
1692,842264223000000
3097,583063828000000
3034,64663717000000
1428,755863684000000
2186,410263516000000
3024,237463424000000
2108,151061589000000
4382,2051861512000000
891,64661325000000
1692,842261151000000
2868,-21740354000000
3944,1101459263000000
891,64659189000000
3624,1187858496000000
2042,669458320000000
1887,151058253000000
2801,1187856570000000
2209,323856301000000
2606,4643856203000000
2801,1274255674000000
1831,1619855638000000
3786,-21744507000000
2356,1792660999000000
1478,496660863000000
5329,3175060773000000
1478,496662515000000
2343,2656662484000000
2655,151062204000000
4527,-21748052000000
9050,5162251580000000
3268,64651334000000
4527,-21748699000000
3623,4989451273000000
2635,-21748788000000
2081,64650813000000
2364,64650653000000
2364,64650540000000
5329,3175050392000000
1926,64650279000000
9050,5162253677000000
1831,1619853576000000
3623,4989453290000000
2042,669453096000000
3181,323848005000000
1439,3520647971000000
5337,-21752467000000
2560,151047395000000
4821,64647002000000
3268,64646969000000
2209,323846842000000
4821,64646242000000
2081,323854795000000
3044,64654579000000
1831,1619854319000000
4527,-21750050000000
4566,-21750634000000
2364,151048688000000
4527,-21747111000000
5651,64646014000000
2114,2051845970000000
3668,1879045589000000
3044,64645531000000
3039,410245334000000
1699,669445208000000
2148,583045143000000
5748,1015045101000000
2822,928645072000000
2082,583040825000000
2619,237440623000000
2198,496640421000000
3035,928640342000000
3806,323840142000000
1877,1965444784000000
3044,64644676000000
3601,1101444367000000
4219,5939844131000000
1688,323843417000000
2635,-21756676000000
1854,410243193000000
4566,-21756915000000
6257,64643015000000
2578,1015042795000000
2715,64642544000000
4066,237442368000000
3510,4469189650000000
3078,2827589150000000
3510,4296388892000000
1063,1185988814000000
8483,5160390626000000
3754,581189997000000
2364,494788689000000
4214,3259588657000000
1752,-21758227000000
4223,62785557000000
2978,235585499000000
2799,62785385000000
2093,926785255000000
3268,62785248000000
2093,926785124000000
1479,581185037000000
2093,926785035000000
2775,-23614974000000
5350,8011584898000000
2532,62784791000000
3358,149184359000000
3234,-23615685000000
2094,62783983000000
3009,62783866000000
2696,-23616134000000
8483,5160383678000000
3599,62202489000000
2381,407802158000000
2549,753401981000000
2627,-24198129000000
2982,62201754000000
2364,494201670000000
2356,62783454000000
3518,408383194000000
2958,235583026000000
2627,-23616989000000
2695,62782892000000
3624,6542203091000000
3171,580602957000000
2657,62202757000000
3234,408387617000000
5711,4037187114000000
2779,840386871000000
3510,4469186617000000
2356,62786413000000
3083,2654785786000000
2525,839801264000000
2082,839801237000000
6916,62200780000000
1078,1617404007000000
1775,62198332000000
8407,5073398291000000
2511,1271798217000000
6916,62198169000000
4049,7578998124000000
6916,62197990000000
3683,148597864000000
2037,-24202359000000
5755,4814193364000000
2347,580593193000000
4672,926193146000000
3302,2308593032000000
2910,62192855000000
2549,753397486000000
1561,1876597075000000
1078,1617396828000000
2070,62196770000000
1518,148596592000000
6145,4900594436000000
1875,1358194244000000
2532,62193791000000
3254,321393538000000
2037,-24206471000000
1561,1876596460000000
2698,-24203947000000
6570,4900595881000000
1954,-24204229000000
1589,666995689000000
2057,321399138000000
2356,62198962000000
4146,6282998962000000
3199,1271798881000000
2910,62195157000000
3351,62194944000000
5716,7924594587000000
2715,62192201000000
2910,62191909000000
8407,5073400092000000
4913,580590470000000
